App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Super Keyboard,TRAVEL_AND_LOCAL,4.6,1.1k,28M,"10,000+",Free,0,Everyone,Travel & Local,"June 21, 2017",3.0.7,4.1 and up
Happy Puzzle,ART_AND_DESIGN,3.5,110,7.0M,"5,000+",Paid,$2.99,Everyone,Art & Design,"April 24, 2018",4.0.7,4.1 and up
Fast Radio,TRAVEL_AND_LOCAL,3.8,22,2.4M,"1,000+",Free,0,Everyone,Travel & Local,"March 31, 2018",6.4.7,4.1 and up
Super Notes 8,BOOKS_AND_REFERENCE,3.8,1.1k,10M,"50,000+",Free,0,Everyone,Books & Reference,"January 29, 2018",Varies with device,5.0 and up
Pixel Bible,PRODUCTIVITY,4.4,1984,10M,"50,000+",Free,0,Everyone,Productivity,"March 17, 2018",Varies with device,Varies with device
Star Scanner 12,ENTERTAINMENT,4.1,211,2.4M,"10,000+",Free,0,Teen,Entertainment,"October 21, 2017",Varies with device,4.4 and up
Simple Workout,TRAVEL_AND_LOCAL,4.9,33,Varies with device,"5,000+",Paid,$0.99,Everyone,Travel & Local,"January 19, 2018",1.2.4,4.0.3 and up
Free Recipes,HEALTH_AND_FITNESS,4.9,391,21M,"50,000+",Free,0,Everyone 10+,Health & Fitness,,1.5.3,5.0 and up
Fast Chess,TOOLS,4.5,1743,8.9M,"50,000+",Free,0,Teen,Tools,"June 18, 2017",7.5.0,5.0 and up
Ultimate Notes 15,SHOPPING,4.5,586,Varies with device,"10,000+",Free,0,Mature 17+,Shopping,"December 26, 2017",Varies with device,5.0 and up
Mini Dictionary,ENTERTAINMENT,4.9,24,40M,"1,000+",Free,0,Everyone 10+,Entertainment,"July 2, 2018",2.6.6,5.0 and up
Simple Coloring Book,MEDICAL,,1,6.5M,50+,Free,0,Everyone,Medical,"May 6, 2018",3.10.7,Varies with device
Cool Radio,HEALTH_AND_FITNESS,4.5,1707,26M,"50,000+",Free,0,Everyone,Health & Fitness,"April 24, 2016",Varies with device,Varies with device
Ultimate Keyboard,SOCIAL,4.1,52,14M,500+,Free,0,Everyone,Social,"February 10, 2018",5.11.7,4.0.3 and up
Star Chess 10,TOOLS,5.0,17437,28M,"500,000+",Free,0,Everyone,Tools,"January 22, 2018",1.14.5,5.0 and up
Star VPN,MAPS_AND_NAVIGATION,4.5,4k,18M,"100,000+",Free,0,Teen,Maps & Navigation,"September 29, 2017",4.9.3,4.0.3 and up
Tiny Notes,BUSINESS,3.7,423,5.0M,"50,000+",Free,0,Everyone,Business,"July 22, 2018",6.6.8,4.4 and up
Ultimate Diet Tracker,EDUCATION,4.3,6k,6.1M,"100,000+",Free,0,Everyone,Education,"September 3, 2017",1.2.1,4.0.3 and up
Magic Workout,HEALTH_AND_FITNESS,4.3,155,16M,"5,000+",Free,0,Everyone,Health & Fitness,"June 27, 2018",Varies with device,4.4 and up
Tiny Puzzle,SOCIAL,3.4,20,31M,500+,Free,0,Everyone,Social,"April 27, 2017",5.14.4,5.0 and up
Simple Workout 18,BUSINESS,4.4,1k,22M,"50,000+",Free,0,Teen,Business,"October 20, 2016",1.10.5,4.0.3 and up
Ultimate Scanner,SOCIAL,4.1,22,Varies with device,"1,000+",Free,0,Everyone,Social,"November 27, 2015",8.15.9,Varies with device
Fast Puzzle 17,FAMILY,4.1,1044,9.6M,"50,000+",Free,0,Teen,Casual,"August 24, 2017",2.4.5,4.0.3 and up
Secure Flashlight,MEDICAL,4.4,94253,34M,"5,000,000+",Free,0,Everyone,Medical,"July 25, 2017",1.13.6,Varies with device
Daily Music Player 16,SOCIAL,4.0,263346,30M,"5,000,000+",Free,0,Teen,Social,"December 28, 2017",7.18.2,4.0.3 and up
Magic VPN 17,FINANCE,4.6,1.2k,17M,"50,000+",Paid,$9.99,Everyone,Finance,"June 25, 2018",1.3.6,5.0 and up
Magic Diet Tracker,ENTERTAINMENT,3.6,103k,100M,"5,000,000+",Free,0,Everyone,Entertainment,"December 16, 2016",4.1.2,4.1 and up
Pro Puzzle,SHOPPING,4.7,11k,9.5M,"500,000+",Free,0,Everyone,Shopping,"September 7, 2017",Varies with device,Varies with device
Super Dictionary,SPORTS,4.1,9828,39M,"500,000+",Free,0,Everyone,Sports,"April 3, 2018",1.17.1,4.1 and up
Daily Coloring Book 14,SHOPPING,4.8,249,9.4M,"10,000+",Free,0,Everyone,Shopping,"March 12, 2017",4.12.1,5.0 and up
Fast VPN 13,EDUCATION,4.6,60.9k,11M,"1,000,000+",Free,0,Everyone,Education,"May 1, 2016",2.1.3,4.4 and up
Magic Keyboard 6,LIFESTYLE,4.1,9906,15M,"100,000+",Free,0,Everyone,Lifestyle,"April 17, 2015",3.0.6,4.0.3 and up
Tiny Translator,HEALTH_AND_FITNESS,4.2,8234,14M,"500,000+",Free,0,Everyone,Health & Fitness,"April 5, 2017",7.1.8,4.1 and up
Simple Chess 3,ENTERTAINMENT,4.5,36k,32M,"5,000,000+",Paid,$9.99,Mature 17+,Entertainment,"July 24, 2018",5.6.3,4.1 and up
Super Messenger 11,SPORTS,3.9,463,3.6M,"10,000+",Paid,$1.99,Everyone,Sports,"January 28, 2018",4.1.6,4.0.3 and up
Bright Coloring Book,MAPS_AND_NAVIGATION,4.1,18.9k,8.2M,"1,000,000+",Free,0,Mature 17+,Maps & Navigation,"December 27, 2017",1.2.7,4.1 and up
Pixel Maps,TRAVEL_AND_LOCAL,3.9,62021,6.1M,"1,000,000+",Free,0,Everyone 10+,Travel & Local,"April 29, 2018",4.0.6,4.1 and up
Super Calendar,LIFESTYLE,4.5,3476,11M,"500,000+",Free,0,Everyone,Lifestyle,"June 2, 2017",8.0.8,4.4 and up
Cool Chess 13,BOOKS_AND_REFERENCE,4.1,1472,7.0M,"50,000+",Free,0,Everyone,Books & Reference,"March 25, 2018",7.2.5,5.0 and up
Secure Scanner,GAME,4.3,51,14M,"1,000+",Paid,$2.99,Everyone 10+,Action,"February 10, 2018",2.4.3,5.0 and up
Fast Launcher 15,BOOKS_AND_REFERENCE,,14524,13M,"1,000,000+",Free,0,Everyone,Books & Reference,"May 30, 2018",5.2.7,4.1 and up
Ultimate Calendar,PRODUCTIVITY,3.9,292,24M,"50,000+",Free,0,Everyone,Productivity,"June 27, 2016",7.10.6,4.0.3 and up
Tiny Scanner,HEALTH_AND_FITNESS,4.4,1.3M,12M,"50,000,000+",Free,0,Everyone,Health & Fitness,"August 17, 2017",6.12.6,4.0.3 and up
Quick Diet Tracker,MAPS_AND_NAVIGATION,5.0,2k,12M,"50,000+",Free,0,Everyone,Maps & Navigation,"July 1, 2018",2.1.7,4.4 and up
Happy Weather 7,TOOLS,4.5,144,18M,"5,000+",Free,0,Everyone,Tools,"October 18, 2017",5.10.6,5.0 and up
Pro Maps 18,HEALTH_AND_FITNESS,4.7,7351,11M,"500,000+",Free,0,Everyone,Health & Fitness,"October 30, 2017",3.8.8,4.1 and up
Quick Photo Editor,PHOTOGRAPHY,5.0,47,22M,"1,000+",Free,0,Mature 17+,Photography,"January 27, 2017",7.15.4,4.1 and up
Simple Launcher,COMMUNICATION,4.5,1,11M,50+,Free,0,Everyone,Communication,"February 17, 2018",3.5.1,Varies with device
Mini Weather,FINANCE,3.3,1k,Varies with device,"50,000+",Free,0,Everyone,Finance,"April 19, 2016",6.7.1,4.0.3 and up
Daily Dictionary,EDUCATION,4.6,8745,25M,"50,000+",Free,0,Everyone,Education,"March 5, 2017",6.6.4,4.4 and up
Fast Puzzle,PHOTOGRAPHY,3.9,3740,11M,"100,000+",Free,0,Everyone,Photography,"October 24, 2015",3.3.9,4.0.3 and up
Ultimate Diet Tracker,FAMILY,3.4,2.0k,Varies with device,"50,000+",Free,0,Teen,Casual,"July 28, 2018",6.1.6,Varies with device
Super Dictionary,PRODUCTIVITY,4.2,7k,0.9M,"100,000+",Free,0,Everyone,Productivity,"March 3, 2018",1.3.7,4.1 and up
Daily Budget 3,ART_AND_DESIGN,4.1,624,7.8M,"10,000+",Free,0,Everyone,Art & Design,"January 9, 2018",1.2.7,4.0.3 and up
Ultimate Calendar,PHOTOGRAPHY,3.9,803,4.1M,"50,000+",Free,0,Everyone,Photography,"June 8, 2017",1.15.7,Varies with device
Mini Diet Tracker,TRAVEL_AND_LOCAL,4.3,40k,13M,"1,000,000+",Free,0,Teen,Travel & Local,"September 11, 2017",7.4.2,4.1 and up
Bright Music Player 19,FINANCE,4.0,3483,23M,"100,000+",Free,0,Everyone,Finance,"July 2, 2016",3.2.3,5.0 and up
Pro Puzzle,MEDICAL,3.6,4k,20M,"500,000+",Free,0,Everyone,Medical,"June 1, 2018",Varies with device,4.1 and up
Star Translator,HEALTH_AND_FITNESS,4.2,1k,6.4M,"50,000+",Free,0,Everyone,Health & Fitness,"February 20, 2018",7.6.8,4.0.3 and up
Tiny VPN,EDUCATION,3.9,294,2.2M,"10,000+",Free,0,Mature 17+,Education,"June 15, 2018",6.11.6,4.1 and up
Pixel Dictionary,ART_AND_DESIGN,3.7,1159,9.8M,"50,000+",Free,0,Everyone 10+,Art & Design,"July 8, 2017",3.2.8,4.0.3 and up
Easy Scanner,PHOTOGRAPHY,4.6,1046,3.2M,"50,000+",Free,0,Everyone,Photography,"February 17, 2018",7.8.3,Varies with device
Tiny Recipes 2,SHOPPING,4.1,2049,18M,"50,000+",Free,0,Everyone,Shopping,"April 25, 2018",4.14.0,4.1 and up
Tiny Scanner,PRODUCTIVITY,3.8,1062,4.8M,"50,000+",Free,0,Everyone,Productivity,"January 29, 2018",7.16.7,4.4 and up
Pocket Dictionary,TOOLS,4.5,8k,20M,"500,000+",Free,0,Everyone,Tools,"November 23, 2016",8.13.5,4.1 and up
Magic Budget,LIFESTYLE,3.6,43,29M,500+,Free,0,Everyone,Lifestyle,"April 1, 2018",5.12.2,4.0.3 and up
Daily Keyboard,COMMUNICATION,4.0,5.0k,934k,"500,000+",Free,0,Everyone,Communication,"June 16, 2018",Varies with device,Varies with device
Simple Wallpapers 18,MAPS_AND_NAVIGATION,3.9,760,Varies with device,"50,000+",Free,0,Everyone,Maps & Navigation,"November 4, 2017",3.10.1,5.0 and up
Simple Puzzle,BOOKS_AND_REFERENCE,4.9,158,3.0M,"5,000+",Free,0,Everyone,Books & Reference,"July 24, 2018",4.15.8,Varies with device
Pixel Scanner,BUSINESS,3.7,21,78M,"1,000+",Free,0,Everyone,Business,"September 5, 2017",Varies with device,4.1 and up
Super Photo Editor 10,MAPS_AND_NAVIGATION,4.5,325,13M,"10,000+",Free,0,Everyone,Maps & Navigation,"November 8, 2016",6.11.9,4.4 and up
Bright Coloring Book,BOOKS_AND_REFERENCE,2.9,7556,43M,"500,000+",Free,0,Teen,Books & Reference,"June 22, 2018",8.1.7,4.1 and up
Simple Flashlight 13,FINANCE,4.5,8680,11M,"500,000+",Free,0,Teen,Finance,"January 18, 2018",1.1.9,4.4 and up
Secure Music Player 18,FAMILY,3.6,47,19M,"1,000+",Free,0,Everyone,Casual,"March 21, 2018",6.1.4,4.4 and up
Free Launcher,MAPS_AND_NAVIGATION,4.8,951,10M,"50,000+",Free,0,Everyone,Maps & Navigation,"February 8, 2017",7.9.0,Varies with device
Happy Weather,SOCIAL,4.6,104020,13M,"5,000,000+",Free,0,Everyone,Social,"October 28, 2017",5.3.3,5.0 and up
Secure Radio,GAME,,5670,23M,"500,000+",Free,0,Everyone,Action,"May 5, 2017",Varies with device,4.1 and up
Simple Dictionary 10,TRAVEL_AND_LOCAL,4.4,13720,23M,"500,000+",Free,0,Everyone,Travel & Local,"March 2, 2018",6.17.9,4.4 and up
Free Radio,SPORTS,3.7,13389,17M,"500,000+",Free,0,Teen,Sports,"December 2, 2016",2.6.6,4.4 and up
Bright Weather,MAPS_AND_NAVIGATION,4.5,102,18M,"1,000+",Free,0,Everyone,Maps & Navigation,"February 6, 2018",4.10.7,4.4 and up
Mini Chess,HEALTH_AND_FITNESS,4.5,142,5.6M,"10,000+",Free,0,Mature 17+,Health & Fitness,"December 10, 2016",2.8.2,4.4 and up
Simple Messenger,MAPS_AND_NAVIGATION,4.3,51391,46M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"September 16, 2016",Varies with device,5.0 and up
Ultimate Calendar 17,TRAVEL_AND_LOCAL,3.5,1803,Varies with device,"100,000+",Free,0,Everyone,Travel & Local,"March 13, 2017",4.17.5,4.1 and up
Mini Translator 19,SOCIAL,,1790,30M,"50,000+",Free,0,Everyone,Social,"October 5, 2015",2.4.0,Varies with device
Pocket Chess,BUSINESS,4.6,368,90M,"50,000+",Free,0,Teen,Business,"July 16, 2018",8.18.1,4.0.3 and up
Happy Weather,LIFESTYLE,4.9,676,8.5M,"50,000+",Paid,$4.99,Everyone,Lifestyle,"July 27, 2017",5.9.2,5.0 and up
Magic Photo Editor,PRODUCTIVITY,4.8,9415,77M,"100,000+",Free,0,Everyone,Productivity,"April 2, 2017",7.2.6,4.1 and up
Mini Translator,MEDICAL,4.7,4550,9.4M,"50,000+",Free,0,Everyone,Medical,"July 14, 2018",8.18.8,4.0.3 and up
Star Launcher,MAPS_AND_NAVIGATION,4.3,353k,Varies with device,"10,000,000+",Free,0,Everyone,Maps & Navigation,"February 22, 2016",1.11.7,4.1 and up
Mini Chess,FAMILY,3.8,45,13M,"5,000+",Free,0,Everyone,Casual,"June 25, 2018",4.18.1,4.4 and up
Quick Messenger,MEDICAL,4.6,788,12M,"50,000+",Free,0,Everyone,Medical,"March 18, 2017",6.3.8,4.4 and up
Happy Recipes 7,HEALTH_AND_FITNESS,3.3,481,30M,"50,000+",Free,0,Everyone,Health & Fitness,"March 24, 2018",Varies with device,4.1 and up
Bright Bible,MAPS_AND_NAVIGATION,4.5,4,Varies with device,500+,Free,0,Everyone,Maps & Navigation,"June 23, 2018",4.3.6,4.1 and up
Cool Launcher,SPORTS,4.7,10720,Varies with device,"500,000+",Free,0,Everyone,Sports,"May 24, 2018",5.2.7,4.1 and up
Pixel Weather,FINANCE,4.1,161,Varies with device,"10,000+",Free,0,Everyone,Finance,,2.10.8,4.1 and up
Free Coloring Book,EDUCATION,4.3,221,24M,"10,000+",Free,0,Everyone,Education,"March 7, 2018",2.18.9,4.0.3 and up
Star Photo Editor 6,EDUCATION,4.6,18269,75M,"500,000+",Free,0,Everyone 10+,Education,"April 12, 2016",3.4.8,4.1 and up
Simple Scanner,COMMUNICATION,3.0,914,5.2M,"50,000+",Free,0,Teen,Communication,"October 20, 2017",2.11.6,4.4 and up
Cool Bible,TRAVEL_AND_LOCAL,4.4,1075,10M,"50,000+",Free,0,Everyone,Travel & Local,"May 15, 2018",7.17.8,5.0 and up
Ultimate Coloring Book,COMMUNICATION,4.7,2.2k,4.2M,"100,000+",Free,0,Everyone,Communication,"April 26, 2017",1.16.4,5.0 and up
Happy Photo Editor,EDUCATION,3.5,298,6.1M,"10,000+",Free,0,Mature 17+,Education,"July 30, 2018",2.8.9,4.0.3 and up
Tiny Coloring Book,ART_AND_DESIGN,4.0,4825,12M,"500,000+",Free,0,Everyone,Art & Design,"June 28, 2018",4.3.7,4.0.3 and up
Mini Messenger,SHOPPING,5.0,163,27M,"5,000+",Free,0,Everyone,Shopping,"November 22, 2016",2.19.3,Varies with device
Pocket Weather 6,ENTERTAINMENT,4.2,2,1.3M,50+,Free,0,Everyone,Entertainment,"July 4, 2018",5.2.0,4.4 and up
Happy Notes,GAME,4.1,38.4k,Varies with device,"500,000+",Free,0,Everyone,Action,"July 22, 2017",5.8.1,5.0 and up
Quick Scanner 14,HEALTH_AND_FITNESS,4.4,2287,84M,"100,000+",Free,0,Everyone,Health & Fitness,"March 12, 2018",5.9.2,5.0 and up
Mini Radio,LIFESTYLE,4.2,23,11M,500+,Free,0,Everyone,Lifestyle,"March 11, 2018",Varies with device,4.0.3 and up
Daily Scanner,SHOPPING,4.7,4684,Varies with device,"50,000+",Free,0,Everyone,Shopping,"June 6, 2018",7.11.3,4.0.3 and up
Star Launcher,SPORTS,5.0,587,Varies with device,"10,000+",Free,0,Teen,Sports,"October 28, 2017",3.3.6,4.4 and up
Secure Wallpapers,PHOTOGRAPHY,3.9,259,11M,"10,000+",Free,0,Everyone,Photography,"April 17, 2018",2.18.0,4.4 and up
Quick Weather 16,EDUCATION,3.9,2641,439k,"50,000+",Free,0,Everyone,Education,"April 21, 2018",5.2.1,Varies with device
Ultimate Messenger,LIFESTYLE,4.0,57,Varies with device,"1,000+",Free,0,Teen,Lifestyle,"December 11, 2017",2.7.7,4.0.3 and up
Tiny Dictionary,COMMUNICATION,4.5,1118,15M,"10,000+",Free,0,Teen,Communication,"January 30, 2018",1.1.3,4.4 and up
Star Dictionary,TRAVEL_AND_LOCAL,4.2,486,31M,"10,000+",Free,0,Everyone,Travel & Local,"April 1, 2018",7.1.8,4.4 and up
Easy Recipes 7,EDUCATION,,3002,33M,"500,000+",Free,0,Mature 17+,Education,"February 13, 2015",5.9.6,4.4 and up
Secure Notes 14,SOCIAL,3.8,8055,9.0M,"500,000+",Free,0,Everyone,Social,"April 11, 2018",6.5.2,4.1 and up
Cool Scanner,COMMUNICATION,3.7,100.5k,2.6M,"5,000,000+",Free,0,Teen,Communication,"May 6, 2018",5.13.8,Varies with device
Quick Diet Tracker,ART_AND_DESIGN,3.6,282525,10M,"5,000,000+",Free,0,Everyone,Art & Design,"March 31, 2017",4.16.1,4.1 and up
Happy Wallpapers,PRODUCTIVITY,4.7,2k,7.0M,"100,000+",Free,0,Everyone,Productivity,"September 4, 2015",3.6.3,4.4 and up
Daily Photo Editor,MAPS_AND_NAVIGATION,3.2,7824,13M,"500,000+",Free,0,Everyone,Maps & Navigation,"January 27, 2018",8.7.3,Varies with device
Pocket Maps,GAME,4.5,4280,1.0M,"100,000+",Free,0,Everyone,Action,"June 21, 2018",3.3.5,5.0 and up
Bright Launcher 14,BUSINESS,5.0,2752,35M,"100,000+",Free,0,Everyone,Business,"April 27, 2015",7.6.2,4.4 and up
Mini Music Player,LIFESTYLE,3.2,4k,18M,"500,000+",Free,0,Everyone,Lifestyle,"February 27, 2018",2.2.8,4.4 and up
Cool Chess,ENTERTAINMENT,3.9,599,10M,"5,000+",Free,0,Teen,Entertainment,"April 15, 2018",5.11.1,4.4 and up
Mini VPN 12,FAMILY,5.0,8194,4.6M,"500,000+",Free,0,Everyone,Casual,"November 27, 2017",1.10.8,4.4 and up
Free Notes,TOOLS,5.0,6,20M,50+,Free,0,Everyone,Tools,"September 8, 2017",4.14.2,4.4 and up
Bright Flashlight,MAPS_AND_NAVIGATION,3.7,4.6k,21M,"50,000+",Free,0,Everyone,Maps & Navigation,"August 9, 2017",7.13.5,5.0 and up
Pocket Wallpapers 6,GAME,,14,179k,500+,Free,0,Teen,Action,"July 6, 2018",8.6.7,4.4 and up
Daily Translator,TRAVEL_AND_LOCAL,5.0,4451,10M,"100,000+",Free,0,Everyone,Travel & Local,"June 6, 2018",6.4.8,4.1 and up
Magic Budget 10,FAMILY,4.1,1.5k,23M,"50,000+",Free,0,Mature 17+,Casual,"June 28, 2018",1.5.4,5.0 and up
Cool Puzzle,EDUCATION,4.5,1,5.1M,10+,Free,0,Everyone,Education,"June 18, 2018",Varies with device,4.4 and up
Cool Flashlight 9,SPORTS,4.5,29203,58M,"500,000+",Free,0,Everyone,Sports,"January 15, 2016",6.4.2,4.4 and up
Secure Puzzle 15,TRAVEL_AND_LOCAL,4.6,4388,31M,"500,000+",Free,0,Teen,Travel & Local,"April 20, 2018",4.7.6,Varies with device
Secure Notes 6,BOOKS_AND_REFERENCE,4.1,1750,Varies with device,"50,000+",Free,0,Everyone,Books & Reference,"June 16, 2017",8.0.5,5.0 and up
Easy Photo Editor,SPORTS,5.0,24455,14M,"1,000,000+",Free,0,Teen,Sports,"July 19, 2018",5.18.3,4.4 and up
Magic Diet Tracker,TRAVEL_AND_LOCAL,4.9,8k,3.9M,"100,000+",Free,0,Everyone,Travel & Local,"June 1, 2018",5.12.5,4.0.3 and up
Simple Radio,FINANCE,,251,7.3M,"5,000+",Free,0,Everyone,Finance,"October 31, 2017",2.18.2,5.0 and up
Bright Weather,LIFESTYLE,4.6,63,4.4M,"5,000+",Free,0,Everyone,Lifestyle,"January 6, 2018",Varies with device,5.0 and up
Magic VPN,SHOPPING,,240,5.6M,"5,000+",Free,0,Teen,Shopping,"April 18, 2018",Varies with device,4.0.3 and up
Mini Bible,FINANCE,2.7,856,37M,"50,000+",Free,0,Teen,Finance,"October 7, 2017",4.7.5,4.4 and up
Pocket Weather 12,ART_AND_DESIGN,4.0,2105,39M,"100,000+",Free,0,Mature 17+,Art & Design,"January 28, 2018",7.14.5,4.1 and up
Daily Calendar,ENTERTAINMENT,3.9,13895,66M,"500,000+",Free,0,Everyone,Entertainment,"April 6, 2017",5.13.1,4.1 and up
Smart Weather,BOOKS_AND_REFERENCE,4.0,193742,24M,"10,000,000+",Free,0,Everyone,Books & Reference,"April 16, 2018",8.4.2,4.0.3 and up
Cool Weather,EDUCATION,4.4,56,7.8M,"1,000+",Free,0,Teen,Education,"April 14, 2016",3.0.1,5.0 and up
Tiny Keyboard,FAMILY,3.9,95,7.3M,"5,000+",Free,0,Everyone,Casual,"November 11, 2017",5.0.9,5.0 and up
Pixel Radio,HEALTH_AND_FITNESS,4.3,1.1M,88M,"50,000,000+",Free,0,Everyone,Health & Fitness,"June 19, 2018",Varies with device,Varies with device
Happy Radio,FINANCE,4.3,11218,9.7M,"500,000+",Free,0,Everyone,Finance,"June 15, 2018",7.11.0,5.0 and up
Easy Scanner,FAMILY,4.0,2k,16M,"50,000+",Free,0,Everyone,Casual,"September 27, 2017",1.19.9,4.4 and up
Easy Flashlight 9,BOOKS_AND_REFERENCE,,7,16M,100+,Free,0,Everyone,Books & Reference,"February 5, 2018",3.19.1,4.4 and up
Cool Radio 3,TOOLS,4.2,6.4k,35M,"100,000+",Free,0,Everyone,Tools,"March 5, 2018",1.16.7,Varies with device
Cool Scanner,SOCIAL,4.0,842,Varies with device,"50,000+",Free,0,Teen,Social,"March 7, 2017",1.6.6,5.0 and up
Bright Weather,FAMILY,4.2,951,7.2M,"50,000+",Free,0,Everyone,Casual,"January 5, 2017",Varies with device,5.0 and up
Fast Flashlight,BUSINESS,3.7,0,48M,1+,Free,0,Everyone,Business,"April 15, 2018",6.19.0,Varies with device
Pro Translator,ENTERTAINMENT,4.1,292,Varies with device,"10,000+",Free,0,Everyone,Entertainment,"October 22, 2017",6.19.7,4.0.3 and up
Mini Messenger,FINANCE,4.5,1867,78M,"50,000+",Free,0,Everyone,Finance,"December 19, 2016",3.2.1,4.0.3 and up
Mini Budget,HEALTH_AND_FITNESS,4.4,4.6k,Varies with device,"100,000+",Free,0,Everyone,Health & Fitness,"February 15, 2017",6.18.8,Varies with device
Tiny Coloring Book,PRODUCTIVITY,4.5,675,3.9M,"50,000+",Free,0,Everyone,Productivity,"September 26, 2016",1.4.8,4.1 and up
Pixel Coloring Book,MAPS_AND_NAVIGATION,4.5,1803,12M,"50,000+",Free,0,Everyone,Maps & Navigation,"December 12, 2017",3.4.7,Varies with device
Star Flashlight 15,EDUCATION,3.8,104,22M,"5,000+",Paid,$9.99,Everyone,Education,"May 7, 2017",2.18.4,4.4 and up
Smart Launcher,BOOKS_AND_REFERENCE,4.5,226,9.2M,"10,000+",Free,0,Everyone,Books & Reference,"March 5, 2018",8.18.8,4.1 and up
Pocket Notes 12,TOOLS,3.9,7259,15M,"500,000+",Free,0,Everyone,Tools,"August 19, 2017",8.11.1,4.4 and up
Tiny Keyboard,SHOPPING,4.4,61,5.9M,500+,Free,0,Everyone,Shopping,"May 25, 2018",7.13.7,4.0.3 and up
Free Recipes,GAME,,9k,31M,"500,000+",Free,0,Everyone,Action,"February 2, 2017",8.0.0,4.4 and up
Mini Maps,LIFESTYLE,4.0,27,16M,"1,000+",Free,0,Everyone,Lifestyle,"February 25, 2018",Varies with device,4.1 and up
Star Notes,FINANCE,4.3,792,4.2M,"10,000+",Free,0,Everyone,Finance,"June 21, 2017",Varies with device,4.0.3 and up
Free Puzzle,EDUCATION,3.4,213,Varies with device,"5,000+",Free,0,Everyone,Education,"May 2, 2017",3.9.4,4.0.3 and up
Happy Dictionary,BUSINESS,4.4,8862,11M,"500,000+",Free,0,Everyone,Business,"June 20, 2017",3.16.0,4.1 and up
Easy Budget 9,FINANCE,4.0,602,6.0M,"50,000+",Free,0,Everyone,Finance,"December 26, 2016",2.1.2,5.0 and up
Pixel Messenger,BOOKS_AND_REFERENCE,5.0,16.2k,6.1M,"500,000+",Free,0,Everyone,Books & Reference,"July 29, 2018",3.5.5,4.1 and up
Easy Flashlight,ENTERTAINMENT,,110,14M,"5,000+",Free,0,Everyone,Entertainment,"June 22, 2018",4.8.9,5.0 and up
Super Wallpapers 18,BOOKS_AND_REFERENCE,4.3,1603,47M,"50,000+",Free,0,Everyone,Books & Reference,"April 18, 2018",3.3.9,5.0 and up
Easy Budget,FAMILY,3.6,49374,40M,"1,000,000+",Free,0,Everyone 10+,Casual,"February 16, 2018",6.13.3,5.0 and up
Happy Wallpapers,PRODUCTIVITY,4.4,11206,9.1M,"500,000+",Free,0,Everyone,Productivity,"October 25, 2017",1.6.3,5.0 and up
Ultimate Diet Tracker,BOOKS_AND_REFERENCE,4.2,19163,9.1M,"500,000+",Free,0,Everyone,Books & Reference,"December 3, 2016",1.17.2,5.0 and up
Secure Wallpapers,COMMUNICATION,4.1,6853,77M,"100,000+",Free,0,Everyone,Communication,"July 21, 2017",6.6.8,4.4 and up
Magic Maps 17,SOCIAL,4.4,8807,7.6M,"500,000+",Free,0,Everyone,Social,"November 29, 2017",Varies with device,5.0 and up
Fast Translator 16,SOCIAL,3.6,4262,10.0M,"500,000+",Free,0,Everyone,Social,"March 29, 2017",2.12.2,4.0.3 and up
Happy Recipes,TRAVEL_AND_LOCAL,4.0,446,30M,"5,000+",Free,0,Teen,Travel & Local,"January 4, 2017",4.11.6,Varies with device
Easy Workout 5,FINANCE,3.8,761,4.2M,"10,000+",Free,0,Everyone,Finance,"September 30, 2017",3.3.6,4.0.3 and up
Daily Calendar,ENTERTAINMENT,5.0,13,Varies with device,500+,Free,0,Everyone,Entertainment,"September 7, 2017",4.15.2,5.0 and up
Quick Puzzle 13,SPORTS,4.3,454489,8.3M,"10,000,000+",Free,0,Teen,Sports,"April 16, 2018",8.13.6,5.0 and up
Fast Photo Editor,FINANCE,5.0,45,Varies with device,500+,Free,0,Teen,Finance,"August 4, 2017",5.18.4,4.4 and up
Tiny Music Player,LIFESTYLE,3.7,2813,12M,"100,000+",Free,0,Everyone,Lifestyle,"July 1, 2018",3.0.6,4.4 and up
Free Weather 2,FAMILY,4.1,142,15M,"5,000+",Free,0,Everyone,Casual,"July 21, 2018",8.14.3,Varies with device
Bright Keyboard,TRAVEL_AND_LOCAL,4.7,518,10M,"50,000+",Free,0,Teen,Travel & Local,"February 3, 2018",8.18.8,4.1 and up
Simple Chess,MAPS_AND_NAVIGATION,,7707,15M,"500,000+",Free,0,Everyone,Maps & Navigation,"March 2, 2018",4.11.3,4.1 and up
Smart Maps 18,SPORTS,4.4,1106,21M,"50,000+",Free,0,Mature 17+,Sports,"December 22, 2017",7.9.9,5.0 and up
Quick Puzzle 5,LIFESTYLE,4.4,0,10.0M,1+,Free,0,Everyone,Lifestyle,"August 15, 2017",8.11.4,4.0.3 and up
Super Music Player 4,SOCIAL,4.6,121k,6.8M,"5,000,000+",Free,0,Everyone,Social,"April 4, 2018",3.0.8,4.4 and up
Pro Scanner,PRODUCTIVITY,4.1,69177,57M,"5,000,000+",Free,0,Teen,Productivity,"November 24, 2017",5.0.4,4.1 and up
Free Maps,EDUCATION,4.3,25,24M,"1,000+",Free,0,Everyone,Education,"January 24, 2018",8.16.5,Varies with device
